step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
17	0.3500	0.3000	0.7000	0.0000	7	7	8	0	2.572605e-13	3.278422e-13	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	8	8	9	0	1.465917e-13	1.857487e-13	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	9	9	10	0	0.000000e0	0.000000e0	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	10	10	11	0	0.000000e0	0.000000e0	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	11	6	12	1	0.000000e0	0.000000e0	3.137121e-12
18	0.3700	0.2600	0.7400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	2	2	3	0	5.388690e-13	7.222985e-13	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	3	3	4	0	5.592699e-13	7.478239e-13	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	4	4	5	0	9.391999e-13	1.267087e-12	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	5	5	6	0	3.773039e-12	5.196655e-12	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	6	6	7	0	3.773163e-12	5.196813e-12	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	7	7	8	0	9.390144e-13	1.266857e-12	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	8	8	9	0	5.480659e-13	7.338146e-13	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	9	9	10	0	0.000000e0	0.000000e0	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	10	10	11	0	0.000000e0	0.000000e0	1.107062e-11
18	0.3700	0.2600	0.7400	0.0000	11	6	12	1	0.000000e0	0.000000e0	1.107062e-11
19	0.3900	0.2200	0.7800	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	1	1	2	0	0.000000e0	0.000000e0	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	2	2	3	0	1.677716e-12	2.400015e-12	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	3	3	4	0	1.757089e-12	2.504913e-12	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	4	4	5	0	2.864634e-12	4.131721e-12	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	5	5	6	0	1.114527e-11	1.634192e-11	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	6	6	7	0	1.114572e-11	1.634254e-11	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	7	7	8	0	2.863876e-12	4.130733e-12	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	8	8	9	0	1.713213e-12	2.447028e-12	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	9	9	10	0	0.000000e0	0.000000e0	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	10	10	11	0	0.000000e0	0.000000e0	3.316752e-11
19	0.3900	0.2200	0.7800	0.0000	11	6	12	1	0.000000e0	0.000000e0	3.316752e-11
20	0.4100	0.1800	0.8200	0.0000	0	0	1	0	0.000000e0	0.000000e0	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	1	1	2	0	0.000000e0	0.000000e0	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	2	2	3	0	4.405262e-12	6.805277e-12	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	3	3	4	0	4.660108e-12	7.165020e-12	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	4	4	5	0	7.374267e-12	1.150599e-11	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	5	5	6	0	2.834365e-11	4.468558e-11	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	6	6	7	0	2.834501e-11	4.468755e-11	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	7	7	8	0	7.371682e-12	1.150241e-11	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	8	8	9	0	4.518022e-12	6.965050e-12	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	9	9	10	0	0.000000e0	0.000000e0	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	10	10	11	0	0.000000e0	0.000000e0	8.501801e-11
20	0.4100	0.1800	0.8200	0.0000	11	6	12	1	0.000000e0	0.000000e0	8.501801e-11
21	0.4300	0.1400	0.8600	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.877217e-10
21	0.4300	0.1400	0.8600	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.877217e-10
21	0.4300	0.1400	0.8600	0.0000	2	2	3	0	9.818272e-12	1.662355e-11	1.877217e-10
21	0.4300	0.1400	0.8600	0.0000	3	3	4	0	1.049772e-11	1.766274e-11	1.877217e-10
